理想L8,33.98-39.98万,理想,12476,
奥迪Q5L,39.68-48.90万,一汽-大众奥迪,12402,
型格,12.99-18.69万,广汽本田,12367,
大众ID.3,16.29-19.29万,上汽大众,12040,
理想L9,42.98-45.98万,理想,11955,
AION S,13.98-17.98万,广汽埃安,11728,
红旗H5,15.98-22.58万,一汽红旗,11638,
博越L,12.57-17.07万,吉利汽车,11546,
宝来,11.20-15.70万,一汽-大众,11342,
哈弗大狗,11.99-16.79万,长城汽车,11335,
途岳,15.86-21.66万,上汽大众,11253,
科鲁泽,9.49-10.89万,上汽通用雪佛兰,11186,
逸动,7.29-10.39万,长安汽车,11003,
唐新能源,20.98-34.28万,比亚迪,10608,
逍客,12.59-18.89万,东风日产,10557,
威朗,12.89-15.99万,上汽通用别克,10498,
腾势D9,33.58-66.00万,腾势汽车,10446,
艾瑞泽8,10.89-14.69万,奇瑞汽车,10424,
探岳,20.49-25.99万,一汽-大众,10276,
红旗E-QM5,12.28-23.98万,一汽红旗,10270,
缤越,7.58-11.98万,吉利汽车,10078,
领克08新能源,20.88-28.80万,领克,10019,
捷途旅行者,13.99-18.49万,奇瑞汽车,9905,
伊兰特,9.98-14.98万,北京现代,9804,
长安UNI-V,10.89-13.99万,长安汽车,9517,
捷途X70,8.69-17.09万,奇瑞汽车,9465,
宝马X3,39.96-48.69万,华晨宝马,9062,
QQ冰淇淋,2.99-5.75万,奇瑞新能源,9015,
红旗HS5,18.38-24.98万,一汽红旗,8917,
小鹏G6,20.99-27.69万,小鹏汽车,8750,
领克03,13.78-42.03万,领克,8509,
君威,15.98-24.98万,上汽通用别克,8484,
银河L7,13.87-18.57万,吉利汽车,8473,
博越,10.28-12.58万,吉利汽车,8257,
宝马X1,28.89-34.99万,华晨宝马,8243,
智己LS6,22.99-29.19万,智己汽车,8158,
凯迪拉克CT5,27.97-36.17万,上汽通用凯迪拉克,8037,
天籁,17.98-26.98万,东风日产,7877,
零跑C11,14.98-20.98万,零跑汽车,7856,
凌渡,14.39-19.09万,上汽大众,7775,
别克GL8,23.29-47.39万,上汽通用别克,7761,
雷凌,11.18-15.28万,广汽丰田,7687,
五菱宏光,4.60-5.99万,上汽通用五菱,7660,
深蓝S7,14.99-21.79万,深蓝汽车,7586,
零跑T03,5.99-9.95万,零跑汽车,7452,
长安CS55PLUS,9.29-12.59万,长安汽车,7185,
哪吒X,12.68-14.68万,合众汽车,7091,
蒙迪欧,14.98-21.88万,长安福特,7036,
沃尔沃XC60,37.79-47.49万,沃尔沃亚太,6947,
欧拉好猫,12.98-16.58万,长城新能源,6903,
宝马X5,61.20-80.00万,华晨宝马,6885,
亚洲龙,19.98-27.98万,一汽丰田,6825,
T-ROC探歌,15.89-17.99万,一汽-大众,6804,
极氪001,30.00-76.90万,极氪,6751,
驱逐舰05,10.18-15.78万,比亚迪,6706,
深蓝SL03,14.59-69.99万,深蓝汽车,6431,
汉兰达,26.88-34.88万,广汽丰田,6413,
英仕派,17.99-25.59万,东风本田,6413,
昂科威,20.99-30.99万,上汽通用别克,6355,
捷达VS5,8.68-11.79万,一汽-大众捷达,6283,
传祺M8,17.98-36.98万,广汽乘用车,6229,
微蓝6,11.28-16.89万,上汽通用别克,6195,
坦克300,19.88-30.28万,长城汽车,6166,
宝马i3,35.39-41.39万,华晨宝马,6160,
长安欧尚Z6,9.99-13.79万,长安汽车,6132,
哈弗猛龙,16.58-18.38万,长城汽车,6025,
赛那SIENNA,30.98-41.18万,广汽丰田,5866,
小鹏G9,26.39-41.99万,小鹏汽车,5778,
长安欧尚X5 PLUS,9.19-11.49万,长安汽车,5771,
北京EU5,12.99-17.19万,北京汽车,5741,
蔚来ES6,33.80-55.40万,蔚来,5666,
传祺GS3,8.48-11.18万,广汽乘用车,5657,
马自达3 昂克赛拉,8.99-18.99万,长安马自达,5635,
银河L6,11.58-14.98万,吉利汽车,5297,
奔驰GLC,40.63-53.13万,北京奔驰,5162,
捷途大圣,9.39-13.59万,奇瑞汽车,5104,
瑞虎7,7.99-14.99万,奇瑞汽车,5097,
奔腾B70,10.59-14.49万,一汽奔腾,5047,
奔驰A级,21.48-27.22万,北京奔驰,5017,
瑞虎9,15.29-20.99万,奇瑞汽车,5010,
途胜,16.18-22.58万,北京现代,4800,
奥迪A3,20.31-25.13万,一汽-大众奥迪,4754,
逸达,8.39-10.79万,长安汽车,4734,
极氪X,18.98-22.98万,极氪,4714,
AION V,15.99-26.98万,广汽埃安,4599,
本田XR-V,11.99-15.29万,东风本田,4432,
皇冠陆放,27.58-35.28万,一汽丰田,4425,
传祺M6,10.98-15.98万,广汽乘用车,4330,
高尔夫,12.98-22.98万,一汽-大众,4302,
东风风神E70,14.28-15.38万,东风乘用车,4271,
奕炫,6.49-9.39万,东风乘用车,4209,
吉利几何E萤火虫,6.98-8.98万,吉利几何,4192,
坦克500新能源,33.50-33.50万,长城汽车,4191,
途昂,29.50-40.50万,上汽大众,4138,
红旗HS3,14.58-19.58万,一汽红旗,4118,
坦克400新能源,27.98-28.98万,长城汽车,4052,
皓瀚,8.99-13.69万,东风乘用车,4012,
本田HR-V,15.99-22.89万,东风本田,3988,
缤瑞,8.98-10.98万,吉利汽车,3974,
岚图梦想家,33.99-68.99万,岚图汽车,3918,
ID.4 CROZZ,19.39-29.39万,一汽-大众,3872,
影豹,9.83-15.80万,广汽乘用车,3855,
飞度,8.18-10.88万,广汽本田,3826,
格瑞维亚,31.58-41.58万,一汽丰田,3768,
航海家,32.88-46.88万,长安林肯,3748,
奥迪Q3,27.88-33.59万,一汽-大众奥迪,3747,
领克06,11.86-13.98万,领克,3694,
荣威i5,6.79-9.99万,上汽集团,3675,
北京现代ix35,12.18-16.78万,北京现代,3584,
领克06新能源,13.68-16.78万,领克,3543,
五菱佳辰,6.88-11.58万,上汽通用五菱,3526,
标致408,10.57-15.97万,东风标致,3505,
Polo,9.09-12.49万,上汽大众,3453,
艾瑞泽5,5.99-8.58万,奇瑞汽车,3444,
一汽-大众CC,24.99-29.99万,一汽-大众,3347,
奇骏,17.99-26.29万,东风日产,3319,
五菱星驰,5.68-8.68万,上汽通用五菱,3300,
捷达VA3,6.58-9.28万,一汽-大众捷达,3293,
宝马iX3,40.50-44.50万,华晨宝马,3281,
小蚂蚁,6.49-9.40万,奇瑞新能源,3275,
蔚来ET5T,29.80-35.60万,蔚来,3248,
长安CS35PLUS,7.99-9.99万,长安汽车,3234,
零跑C01,14.58-20.88万,零跑汽车,3200,
江淮A5 PLUS,6.58-13.98万,江汽集团,3154,
缤智,11.99-13.99万,广汽本田,3111,
沃尔沃S90,40.69-50.59万,沃尔沃亚太,3103,
揽巡,27.49-32.59万,一汽-大众,3091,
护卫舰07,20.28-31.98万,比亚迪,3088,
问界M5,24.98-33.18万,赛力斯汽车,3075,
MG5,6.79-9.99万,上汽集团,3061,
捷达VS7,10.49-14.49万,一汽-大众捷达,3024,
欧尚Z6新能源,15.58-17.58万,长安汽车,3020,
长安启源A07,15.59-17.69万,长安启源,3016,
小鹏P7,20.99-33.99万,小鹏汽车,2990,
五菱星辰,6.88-10.98万,上汽通用五菱,2984,
宝骏云朵,9.58-14.58万,上汽通用五菱,2954,
